Eval num_timesteps=24992, episode_reward=-133.85 +/- 25.47
Eval num_timesteps=49984, episode_reward=-159.03 +/- 90.82
Eval num_timesteps=74976, episode_reward=-81.89 +/- 44.56
Eval num_timesteps=99968, episode_reward=-121.44 +/- 33.57
Eval num_timesteps=124960, episode_reward=-59.87 +/- 77.80
Eval num_timesteps=149952, episode_reward=-98.30 +/- 26.62
Eval num_timesteps=174944, episode_reward=-108.13 +/- 22.11
Eval num_timesteps=199936, episode_reward=-77.23 +/- 40.20
Eval num_timesteps=224928, episode_reward=-70.41 +/- 54.51
Eval num_timesteps=249920, episode_reward=58.44 +/- 113.84
Eval num_timesteps=274912, episode_reward=147.50 +/- 134.15
Eval num_timesteps=299904, episode_reward=159.32 +/- 135.92
Eval num_timesteps=324896, episode_reward=178.00 +/- 124.92
Eval num_timesteps=349888, episode_reward=180.49 +/- 118.10
Eval num_timesteps=374880, episode_reward=130.03 +/- 133.19
Eval num_timesteps=399872, episode_reward=190.38 +/- 111.43
Eval num_timesteps=424864, episode_reward=215.73 +/- 25.62
Eval num_timesteps=449856, episode_reward=243.20 +/- 35.38
Eval num_timesteps=474848, episode_reward=237.18 +/- 52.54
Eval num_timesteps=499840, episode_reward=127.67 +/- 129.57
Eval num_timesteps=524832, episode_reward=255.37 +/- 15.51
Eval num_timesteps=549824, episode_reward=242.56 +/- 31.15
Eval num_timesteps=574816, episode_reward=232.98 +/- 5.91
Eval num_timesteps=599808, episode_reward=243.09 +/- 11.08
Eval num_timesteps=624800, episode_reward=236.83 +/- 18.57
Eval num_timesteps=649792, episode_reward=209.94 +/- 97.74
Eval num_timesteps=674784, episode_reward=223.71 +/- 19.13
Eval num_timesteps=699776, episode_reward=238.45 +/- 20.14
Eval num_timesteps=724768, episode_reward=246.37 +/- 21.06
Eval num_timesteps=749760, episode_reward=238.77 +/- 11.59
Eval num_timesteps=774752, episode_reward=235.06 +/- 16.04
Eval num_timesteps=799744, episode_reward=262.13 +/- 14.46
Eval num_timesteps=824736, episode_reward=249.27 +/- 20.35
Eval num_timesteps=849728, episode_reward=265.57 +/- 4.59
Eval num_timesteps=874720, episode_reward=261.35 +/- 19.50
Eval num_timesteps=899712, episode_reward=271.80 +/- 27.68
Eval num_timesteps=924704, episode_reward=263.49 +/- 18.16
Eval num_timesteps=949696, episode_reward=265.07 +/- 28.10
Eval num_timesteps=974688, episode_reward=278.67 +/- 14.22
Eval num_timesteps=999680, episode_reward=276.52 +/- 14.48
